iter	Logloss
0	0.6908950423
1	0.688285326
2	0.6868907759
3	0.6854000462
4	0.6840970232
5	0.6826714097
6	0.6821051742
7	0.6813476109
8	0.6804684722
9	0.6795422512
10	0.6789759884
11	0.6784857747
12	0.6775395843
13	0.6771944352
14	0.6762471738
15	0.6756618448
16	0.675251583
17	0.6747196727
18	0.6742784385
19	0.6739000794
20	0.6737765185
21	0.6734523252
22	0.6732111116
23	0.67306722
24	0.6727498403
25	0.6725503835
26	0.6722878689
27	0.6720400154
28	0.6718868624
29	0.6716361916
30	0.6714187909
31	0.6713173269
32	0.6711552676
33	0.6709128898
34	0.6707648303
35	0.670654174
36	0.6705127671
37	0.6703970711
38	0.6703115944
39	0.6700197952
40	0.669882105
41	0.6697433448
42	0.6695998698
43	0.6692964384
44	0.6692033533
45	0.6690593459
46	0.6689679
47	0.6688057591
48	0.6686831326
49	0.6686273575
50	0.6685532432
51	0.6684460909
52	0.6682881641
53	0.6680675935
54	0.6679709879
55	0.6678959009
56	0.6677487115
57	0.6676792811
58	0.6676186376
59	0.6675479132
60	0.6673846993
61	0.6673461922
62	0.6673125515
63	0.6671633477
64	0.667094856
65	0.6670336667
66	0.6669022915
67	0.6668268521
68	0.6667763375
69	0.6667378958
70	0.6666708692
71	0.6665869846
72	0.6665227464
73	0.6664829421
74	0.666395103
75	0.666335861
76	0.6662796253
77	0.6662293106
78	0.6661906136
79	0.666097695
80	0.6660546415
81	0.6659917845
82	0.6659552447
83	0.6658943253
84	0.6658239211
85	0.6657655964
86	0.6657267955
87	0.6656729993
88	0.6655924695
89	0.6655318139
90	0.6654623458
91	0.665394826
92	0.6653111004
93	0.6652611642
94	0.6652109851
95	0.6651561187
96	0.6650130248
97	0.6649528398
98	0.6648788824
99	0.6647851209
100	0.6647019238
101	0.6646394684
102	0.6645392201
103	0.6644153054
104	0.6644025471
105	0.6643291601
106	0.6642804831
107	0.6642436151
108	0.664182157
109	0.6641069757
110	0.6639815676
111	0.6639012694
112	0.6638564162
113	0.6638107558
114	0.6637530494
115	0.6636912985
116	0.6636553846
117	0.6636416238
118	0.6636010428
119	0.6635311063
120	0.6634576082
121	0.6633385468
122	0.6632662015
123	0.6631829313
124	0.6630951703
125	0.6629935771
126	0.6628974543
127	0.6628668861
128	0.6627564875
129	0.6626697895
130	0.6626189929
131	0.6625299842
132	0.6624661031
133	0.6623826095
134	0.6622468097
135	0.6621563503
136	0.6620992315
137	0.6620110084
138	0.6619468194
139	0.6618305737
140	0.661758802
141	0.6617196325
142	0.661526878
143	0.661437401
144	0.6613267696
145	0.6612385815
146	0.6611614565
147	0.661084345
148	0.6609398581
149	0.6607908676
150	0.6606677154
151	0.6605591875
152	0.6604026417
153	0.6602639294
154	0.6601158032
155	0.6599922777
156	0.659904403
157	0.6598070681
158	0.6597115844
159	0.6595543491
160	0.6593971015
161	0.6592915195
162	0.6591546734
163	0.6590162889
164	0.6588763083
165	0.6587003293
166	0.6585939879
167	0.6584513159
168	0.6583246229
169	0.6581287742
170	0.6579497155
171	0.6578291315
172	0.657672193
173	0.6575097823
174	0.6573617272
175	0.6572335564
176	0.6570811019
177	0.6569127187
178	0.6567442964
179	0.6566363483
180	0.656540151
181	0.6564243795
182	0.6562949819
183	0.6561926155
184	0.6560358239
185	0.6558843055
186	0.6557291125
187	0.6555651532
188	0.6554712256
189	0.655319203
190	0.6551849359
191	0.6550615623
192	0.6549249733
193	0.6547974522
194	0.6546544828
195	0.6545132011
196	0.6543276613
197	0.6541981057
198	0.6540278276
199	0.6538962169
200	0.6537797357
201	0.653627672
202	0.6534657746
203	0.6533517082
204	0.6531976545
205	0.6530495403
206	0.652931127
207	0.6527966781
208	0.6526673829
209	0.6525341379
210	0.6522792337
211	0.6521522631
212	0.6520271126
213	0.6518983479
214	0.651762112
215	0.6516451984
216	0.6515141763
217	0.6514095152
218	0.6512767128
219	0.65114337
220	0.6510654477
221	0.6509578335
222	0.6508354467
223	0.6507338114
224	0.6506193324
225	0.6504843628
226	0.6503648666
227	0.6502587403
228	0.6501331236
229	0.6500122147
230	0.6499165668
231	0.6497875026
232	0.6496489345
233	0.6495588019
234	0.6494467499
235	0.6493419419
236	0.6492192699
237	0.6490635516
238	0.6489429435
239	0.648803245
240	0.6486978074
241	0.6485514322
242	0.6484302158
243	0.6482828868
244	0.6482003832
245	0.6480797977
246	0.6479726685
247	0.6478339472
248	0.6477110957
249	0.6475851648
250	0.6474804392
251	0.6473634934
252	0.6472458788
253	0.6470937898
254	0.6469199588
255	0.6467760642
256	0.6465644334
257	0.6464635154
258	0.6463294481
259	0.6461917191
260	0.6460653414
261	0.6459476311
262	0.6458098819
263	0.6456666578
264	0.6455483009
265	0.645441196
266	0.6453218649
267	0.6452309889
268	0.6450942812
269	0.6449350341
270	0.6448407713
271	0.6447042261
272	0.6445861974
273	0.6444321899
274	0.6443458301
275	0.6442263748
276	0.644062786
277	0.6439395563
278	0.6437910666
279	0.6436758643
280	0.6435547932
281	0.6434793471
282	0.6433564499
283	0.6432513237
284	0.6431360855
285	0.6430451024
286	0.6429166958
287	0.642796025
288	0.6426655907
289	0.6425720257
290	0.6424542464
291	0.6423171411
292	0.6422062314
293	0.6420949418
294	0.6420021475
295	0.6418905878
296	0.6417803093
297	0.6416226657
298	0.641427589
299	0.6413040282
300	0.6412004658
301	0.6410607141
302	0.64089886
303	0.640752295
304	0.6406555781
305	0.6405455719
306	0.6404324513
307	0.640334467
308	0.6401971605
309	0.6400787602
310	0.6399684853
311	0.6398181131
312	0.6397193865
313	0.6396460435
314	0.639517466
315	0.6393972726
316	0.6392961793
317	0.6391725052
318	0.6389976954
319	0.6388882438
320	0.6387751426
321	0.6385933051
322	0.6385075695
323	0.6383957015
324	0.6382574249
325	0.6381542612
326	0.638043252
327	0.6379324875
328	0.6378292552
329	0.637722866
330	0.6376364703
331	0.6375304972
332	0.6374210155
333	0.6373056772
334	0.6372081278
335	0.6370860401
336	0.6369786734
337	0.6368437199
338	0.6367343198
339	0.6365961439
340	0.6364638915
341	0.6363386094
342	0.6362454859
343	0.636113839
344	0.6359500427
345	0.6358352847
346	0.6357297201
347	0.6356177576
348	0.6354377926
349	0.6352890431
350	0.6351919412
351	0.6350925191
352	0.6349884662
353	0.6349128332
354	0.6348458436
355	0.634737901
356	0.6346285227
357	0.6344631995
358	0.6343461047
359	0.6342505973
360	0.6341575707
361	0.634045545
362	0.6339404362
363	0.6338318023
364	0.6337114388
365	0.6335732471
366	0.633502445
367	0.6334156857
368	0.633292112
369	0.6331550828
370	0.6330449391
371	0.6328972873
372	0.6327508755
373	0.632635311
374	0.6325443569
375	0.6324401136
376	0.6323247325
377	0.632248247
378	0.6321234022
379	0.6320163672
380	0.6319086843
381	0.6318024383
382	0.6316526462
383	0.6315655023
384	0.6314507114
385	0.6313258612
386	0.6312503907
387	0.6310909047
388	0.6309995964
389	0.6308351672
390	0.6307577468
391	0.6306389618
392	0.6305329989
393	0.6304109451
394	0.6303035058
395	0.6302171122
396	0.6301085376
397	0.6299361497
398	0.6298056044
399	0.6296674846
400	0.6295444761
401	0.6294343761
402	0.6293302368
403	0.6292080741
404	0.6291300394
405	0.6289829289
406	0.6288839352
407	0.6287838038
408	0.6286620216
409	0.6285398947
410	0.6284238399
411	0.6282954837
412	0.6282090492
413	0.6280814858
414	0.6280005218
415	0.6278884609
416	0.6278124062
417	0.6277342318
418	0.6276122602
419	0.6274819813
420	0.627378509
421	0.627271775
422	0.6271980486
423	0.62711198
424	0.6269560202
425	0.6268453833
426	0.6267538294
427	0.6266373133
428	0.6265339391
429	0.6264278713
430	0.6262931396
431	0.6261698557
432	0.6260420851
433	0.6258835102
434	0.6257800584
435	0.625694218
436	0.6256004898
437	0.6254782484
438	0.625384701
439	0.6252730347
440	0.6251678951
441	0.6250543165
442	0.624926755
443	0.6248329903
444	0.6247071455
445	0.6246331842
446	0.6245319882
447	0.62443132
448	0.6243234845
449	0.6241848357
450	0.6240873699
451	0.6239894212
452	0.6238563565
453	0.6237717422
454	0.6236698178
455	0.6235450232
456	0.6234374114
457	0.623341803
458	0.6232392853
459	0.6231234198
460	0.6230039883
461	0.6229226224
462	0.6228158422
463	0.6227529145
464	0.6226173266
